identifier,registry,lane,ledger_compound,intervention,population,n,primary_cognitive_outcome,registry_status,expected_readout,prediction,pred_g,pred_ci_lo,pred_ci_hi,prediction_basis,prediction_reason,endpoint_tier,prediction_date,rule_committed_at,status,actual_outcome,url
NCT07285629,ClinicalTrials.gov,hormonal,,"Combination klotho + follistatin nonviral plasmid gene therapy, single subcutaneous injection. Registry lists interventions as ""Follistatin and klotho gene therapy"". Dose not stated on the record. Follow-up runs from 1 month before treatment to 3 months after (5 timepoints).","HEALTHY ADULTS - clean fit. Healthy-volunteers flag is true; condition listed as ""Healthy Adults""; ages 50-80, all sexes. Inclusion is ""Adults aged 50 to 80 years"" and ""General good health""; exclusions remove cancer, autoimmune disease, chronic kidney/liver disease, immunosuppressives, and ""Any medical or psychiatric condition that could interfere with participation"". No cognitive or neurological patient group.",14 (ACTUAL enrolment),"Cognition is secondary, not primary (primaries are serum alpha-Klotho, serum follistatin, and PRO-CTCAE adverse events). The objective cognitive endpoints are three NIH Toolbox tests: ""Change From Baseline in Pattern Comparison Processing Speed Test T-Score (Mean 50 +/- 10)"", ""Change From Baseline in Picture Sequence Memory Test T-Score, Forms A and B (Mean 50 +/- 10)"", and ""Change From Baseline in Flanker Inhibitory Control and Attention Test T-Score (Mean 50 +/- 10)"".",COMPLETED,Primary completion date 2026-04-30 (ACTUAL); study completion date 2026-04-30 (ACTUAL); last update posted 2026-08-27. Results are NOT posted - I checked the record's hasResults field directly and it returns false. The trial has finished and the readout is outstanding.,ABSTAIN,,,,not_mapped,klotho plus follistatin gene therapy; no ledger row,primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT07285629
NCT07319117,ClinicalTrials.gov,cholinergic,,"Skoshify 'Think Tank' formulation, acute dose, each containing Magnesium 105 mg, Sodium 5 mg, Creatine Monohydrate 2.5 g, Magnesium Gluconate 2 g, L-Tyrosine 500 mg, Phosphatidylserine 20% powder 200 mg, L-Theanine 200 mg, Citicoline Sodium 125 mg, Rhodiola Rosea Root Extract 100 mg. Placebo is maltodextrin plus acacia gum. CAVEAT: citicoline is one of nine ingredients at a low 125 mg dose, so this cannot attribute any effect to the cholinergic component.","Females aged 40-60, daily caffeine drinkers, healthy and free from significant physical and psychiatric disorders; current smokers/vapers, diagnosed psychiatric conditions, recreational drug users, diagnosed cardiovascular conditions and those on prescribed medication (other than contraceptives/HRT) are excluded. Healthy-volunteers flag true. My judgement: healthy middle-aged adults, but female-only and caffeine-habituated, so results do not generalise to men or to caffeine-naive people.",40 (estimated),"Four objective CANTAB primaries, all measured immediately post stress exposure: Working Memory Performance via CANTAB Digit Span (forwards and backwards); cognitive flexibility via the Intra-Extra Dimensional Set-Shift task; sustained attention via Rapid Visual Information Processing; and inhibitory control via the Stop-Signal Task (Stop Signal Reaction Time). Self-report scales and salivary cortisol are secondary only.",Recruiting,"Start date 2025-12-15, estimated primary completion 2026-08-01, estimated study completion 2026-08-31, last update posted 2026-01-06 [actual]. The stated primary completion date has just passed with no registry update.",ABSTAIN,,,,not_mapped,multi-ingredient 'Think Tank' formulation; citicoline not isolable,primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT07319117
NCT07388576,ClinicalTrials.gov,nutraceutical,,"AP-Brain dietary supplement at 1 g, 3 g or 5 g daily (5 tablets per dose, active/placebo blend) vs placebo, for 56 days. The registration text I read does not state the compound's composition.","Healthy adults aged 18-39 with self-reported focus/attention problems screened via ASRS v1.1 Part A. Judgement: healthy adults, not an ADHD sample - clinical ADHD diagnosis or prescribed ADHD treatment is an explicit exclusion, as is any self-reported significant neuropsychological condition or cognitive impairment. Flagging this as borderline because the inclusion criterion is attention-symptom-based.",120 (ESTIMATED),"CNS Vital Signs Neurocognitive Index (NCI) score and complex attention domain, change from baseline to Day 56",RECRUITING,Primary completion and overall completion both 2026-11 (estimated); last update posted 2026-09-18 (most recently updated record in this lane),ABSTAIN,,,,not_mapped,AP-Brain proprietary supplement; composition not isolable,primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT07388576
NCT07451496,ClinicalTrials.gov,frontier,,"Biomarker-personalised supplement stack plus supervised training over 8 weeks. Nicotinamide mononucleotide (NMN) 300 mg/day is allocated only to participants below the 50th percentile for normative VO2peak; urolithin A 250 mg/day only to those below the 50th percentile for muscle mass; a multivitamin only to those below the 50th percentile for cognitive performance. All participants receive whey protein (weight-banded), creatine monohydrate (weight-banded), fucoidan 2.4 g/day, optional ergothioneine 25 mg three times weekly from month 1, plus supervised dual-task cognitive-physical exergaming three times weekly for 60 minutes, sleep and dietary counselling, and motivational interviewing. Sponsor: National University of Singapore.","Adults 50-80, described in the eligibility text as relatively healthy and in stable health, untrained for 12 months, with VO2peak and cognitive performance both below the 75th percentile of age- and sex-specific norms. Major cardiovascular disease, more than two unstable chronic conditions, and psychiatric/cognitive conditions are excluded. Registry healthy-volunteers flag = Yes. My judgement: HEALTHY ADULTS, though performance-enriched — entry requires below-median-to-75th-percentile fitness and cognition, so the sample is deliberately selected for headroom rather than for illness.",20 (ESTIMATED enrolment target),"""Change from baseline in cognitive performance (NIH Toolbox Fluid Cognition Composite)"" — a registered PRIMARY outcome, assessed at baseline, week 4 and week 8. Fluid Cognition Composite is an objective performance score spanning executive function, attention, working memory, episodic memory and processing speed. The four co-primaries are VO2peak, 1RM strength, ultrasound muscle thickness and the CD4+:CD8+ ratio.",Recruiting,"Primary completion 2026-02-23 (ACTUAL — already reached), overall completion 2026-06-30 (estimated), also now passed. Last update posted 2026-03-05. The record still reads recruiting despite an actual primary completion date, an internal inconsistency worth noting; either way no results are posted and the readout is pending and imminent.",ABSTAIN,,,,not_mapped,personalised supplement stack plus supervised exercise; not isolable,primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT07451496
NCT07475546,ClinicalTrials.gov,frontier,,Multi-drug geroprotective stack over 90 days. Rapamycin titrated 2 mg to 6 mg once weekly (comprehensive arm only); metformin 500 mg daily; NAD+ 30 mg/day nasal spray; low-dose naltrexone titrated 1.5 mg to 4.5 mg daily; topical glutathione patch weekly; a proprietary seven-compound supplement; vitamin B12. Control arm receives vitamin C and vitamin E as placebo. Both arms also receive exercise and either guided meditation (intervention) or podcast listening (control). Sponsor: AgelessRx.,"Adults 60-80, AgelessRx patients, required to have ""at-risk indicators for decline"" satisfied by any combination of BMI 26-30, low SF-36 subscale scores, low Immune Status Questionnaire score, self-reported brain fog, or pre-diabetes. Registry healthy-volunteers flag = Yes. My judgement: MIXED / AT-RISK-ENRICHED, and I am flagging this explicitly. No participant carries a neurological or psychiatric diagnosis and dementia is not being studied, so this is not a patient group — but one of the qualifying entry routes is self-reported brain fog or difficulty with mental clarity, which is a subjective cognitive complaint. Treat as community-dwelling older adults enriched for subclinical decline, not a clean healthy sample.",30 (ESTIMATED; 10 per arm across three arms),"""Change in cognitive performance measured by Creyos Cognitive Test composite score"" — a registered PRIMARY outcome, using the Creyos (formerly Cambridge Brain Sciences) online objective battery, assessed twice at baseline and twice at the final period at least 7 days apart, with the paired scores averaged. The other three primaries are VO2 max, the iAge inflammation index and DEXA lean body mass.","Active, not recruiting",Primary completion and overall completion both 2026-04 (estimated) — a date that has already passed as of 2026-09-20 while the record still reads active and shows no posted results. Last update posted 2026-03-16. The readout is overdue rather than distant.,ABSTAIN,,,,not_mapped,multi-drug geroprotective stack; no ledger row and not isolable,primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT07475546
NCT07530185,ClinicalTrials.gov,stimulant,,"Four supplementation conditions plus a no-supplement control in randomized counterbalanced crossover with >=72 h washout: placebo, L-tyrosine alone, caffeine alone, and combined L-tyrosine plus caffeine (doses not stated in the registration)","Male elite boxers aged 18 and over with >=8 years training experience competing nationally/internationally; no cardiovascular, metabolic or neurological disorder. Registry healthyVolunteers flag = true. My judgement: HEALTHY ADULTS (elite male athlete subgroup — generalization to ordinary healthy adults is a real limitation).",18 (estimated enrolment),Stroop Test Performance — the sole primary outcome. Secondary outcomes are BDNF levels and oxidative stress markers.,Not yet recruiting,Primary completion 2026-12 (ESTIMATED); overall completion 2027-03 (ESTIMATED); last update posted 2026-07-08,ABSTAIN,,,,not_mapped,multi-arm tyrosine/caffeine/combination; registration does not state doses,primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT07530185
NCT07637487,ClinicalTrials.gov,frontier,,"Tocotrienol-rich fraction 200 mg/day in capsules, split into two daily doses, versus a 200 mg placebo softgel, over 6 months. Sponsor: National University of Malaysia.","Adults aged 35-50, required to be generally healthy on physical examination and blood laboratory testing including adequate liver and renal function and specified neutrophil, platelet and haemoglobin ranges. Registry condition field is literally 'Healthy' and the healthy-volunteers flag = Yes. My judgement: HEALTHY MIDDLE-AGED ADULTS — the cleanest population in the senolytic sub-lane.",220 (ESTIMATED enrolment target),"Three objective cognitive measures are registered as SECONDARY outcomes: the Rey Auditory Verbal Learning Test for recall memory, the Digit Span Test (forward, backward, sequencing) for working memory, and the Montreal Cognitive Assessment. Assessed at baseline, month 3 and month 6. All primaries are biological — AGEs, protein carbonyl, MDA, DNA damage, SASP gene and protein expression, TNF-alpha, IL-6, mitochondrial ATP and membrane potential, plasma tocotrienol levels, body composition.",Recruiting,Overall completion 2027-01-30 (estimated); last update posted 2026-06-09. NOTE an internal inconsistency in the record: primary completion is listed as 2024-12-19 (ACTUAL) while the study is still marked recruiting with a 2027 completion date. I am reporting both dates as the registry gives them rather than picking one. No results posted.,ABSTAIN,,,,not_mapped,tocotrienol-rich fraction; no ledger row,primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT07637487
NCT07732166,ClinicalTrials.gov,glutamatergic,,"Psilocybin (Usona Institute), 3 x 5 mg capsules (15 mg total, cGMP), versus an active-placebo comparator of niacin 100 mg plus 2 x 25 mg microcrystalline cellulose inert placebo capsules.","Healthy adults aged 21-60, minimum eight years of schooling, fluent in Portuguese. HealthyVolunteers flag = true; condition listed as 'Healthy Adults'. Judgement: clean healthy-adult population.",100 (estimated enrolment),"FLAG — BORDERLINE ON DOMAIN, include or discard with this in view. The primary outcome is 'Changes in global metacognitive judgment using the Computerized Success-Failure Manipulation Paradigm', a computerized task that uses a titration procedure to establish each participant's reaction-time threshold and then manipulates success/failure. It is an objective, performance-based, reaction-time-anchored paradigm, but metacognition is not squarely one of the named target domains (memory, attention, executive function, processing speed, learning). The secondaries do include a conventional objective attention/executive task — 'Changes in the Eriksen Flanker Task adapted to measure Sense of Agency' — though it is adapted away from its standard scoring.",Recruiting,Study start 2026-04-01; primary completion 2027-08-01; study completion 2027-12-01. Last update posted 2026-07-28.,ABSTAIN,,,,endpoint_not_cognitive,verifier flagged the primary as borderline on domain; excluded rather than resolved by preference,primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/api/v2/studies/NCT07732166
UMIN000057063,UMIN-CTR (Japan),nonus,,"Nucleotide-containing capsule, one capsule per day for 24 weeks, versus matching placebo capsule.","Middle-aged and older Japanese subjects aged 50+, non-smokers, without cognitive impairment, chronic disease or regular medication. CAVEAT the project should weigh: entry requires ""an MMSE score of 24 to 27 at screening and a Cognitrax standardized score of 60 to 90 for composite memory"", i.e. the sample is deliberately enriched for the lower end of the normal range. Judgement: HEALTHY ADULTS, but a low-normal-performance slice of them, not an unselected healthy sample. Not an MCI or dementia population.",84 (target sample size),"""Cognitrax"" — the Cognitrax/CNS Vital Signs computerised neurocognitive battery (objective performance testing including composite memory), used both as the screening instrument and the primary outcome.","""No longer recruiting"". Protocol fixed 10 February 2025; trial start 20 February 2025. Record last modified 07 June 2026.","Last follow-up date 03 December 2025 — already passed. Publication of results field reads ""Unpublished"" as of the 07 June 2026 record update.",ABSTAIN,,,,not_mapped,nucleotide-containing capsule; no ledger row,primary,2026-09-20,2baedf8,PENDING,,https://center6.umin.ac.jp/cgi-open-bin/ctr_e/ctr_view.cgi?recptno=R000065214
NCT06906848,ClinicalTrials.gov,cholinergic,citicoline,"Cognizin® citicoline, oral, versus oral placebo, over 12 weeks. Dose is not stated in the registry record — the intervention description gives only the route ('Oral'), so any prediction must not assume a specific milligram amount.","Healthy adult males and females 18-35 at screening, BMI 18.0-34.9, in good general health, MMSE score above 24 at screening, naive to or only light users of oral cannabis/hemp. Healthy-volunteers flag true; conditions listed as 'Healthy' and 'Cognitive Performance'. My judgement: unambiguously healthy young adults.",90 (actual),"Effect of the test product on cognitive performance versus placebo after 12 weeks using the Psychomotor Vigilance Test (PVT). Secondary objective measures are attention control via Stroop squared, Flanker squared and Simon squared tasks, and motor speed via the Finger-Tapping test.",Completed,"Primary completion 2025-05-31, study completion 2025-06-20, last update posted 2025-07-09. No results posted to the registry, and a targeted web search for published results returned none — only the registry entry and unrelated earlier Cognizin studies. Readout is pending roughly 15 months after completion.",ABSTAIN,,,,ledger:no healthy-adult MA,"ledger row has no interval; precision unknown, so no call is made",primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT06906848
kw54p,OSF,reviews,tyrosine,"Oral L-tyrosine as the sole active intervention, versus placebo or matched inactive control. Any absolute or body-weight-adjusted dose, formulation, administration schedule, number of doses, and duration eligible.","Healthy adults aged 18+, tested under ordinary/rested conditions as well as transient challenges (sleep deprivation, thermal stress, hypoxia/altitude, noise, sustained cognitive workload, multitasking). HEALTHY ADULTS: yes, clean — the stressors are experimental states imposed on healthy people, not clinical conditions.",not stated (systematic review; no target number of included studies given),"Overall objective cognitive performance — the average standardized effect across eligible objective, task-based outcomes (accuracy, correct responses, errors, reaction time, span, recall, recognition, signal-detection measures, interference scores, switch costs, validated composites). Seven pre-specified secondary domains including attention/vigilance, processing speed, working memory, episodic memory, executive function/cognitive control, reasoning/creative cognition, decision-making/reinforcement learning. Hedges' g; RoB 2 (incl. crossover variant); GRADE; PRISMA 2020 + PRISMA-S.","Public, not withdrawn. Registration type 'Generalized Systematic Review Registration'. Registry state: searches complete, data extraction and synthesis NOT begun — the registration explicitly says so.",Registered 2026-09-02 (18 days ago). Search date given as 31 August 2026. The protocol explicitly declines to give a finish date: 'The current protocol does not specify a planned completion date.' — no anticipated completion date stated.,ABSTAIN,,,,ledger:Jongkees 2015 J Psychiatr Res (review),"ledger row has no interval; precision unknown, so no call is made",primary,2026-09-20,2baedf8,PENDING,,https://osf.io/kw54p/
NCT05301608,ClinicalTrials.gov,glutamatergic,psilocybin,"Psilocybin, synthetically manufactured under cGMP, oral capsule, vs. placebo (microcrystalline cellulose in a size 0 blue gelatin capsule). Multiple drug administration sessions. The registration does not state the mg dose.","Healthy adults aged 18-75. HealthyVolunteers flag = true; condition listed simply as 'Healthy'. Eligibility requires screening for medical and psychiatric problems by interview, questionnaire, physical exam, ECG and blood/urinalysis. Judgement: clean healthy-adult population, no patient group.",30 (estimated enrolment),"Three objective performance measures sit among the primary outcomes: (1) 'Sensitivity in distinguishing old versus newly presented visual stimuli' — next-day recognition memory for words and images studied during dosing; (2) 'Accuracy in the remote associates task as assessed by total correct number of trials' — convergent/insight problem solving; (3) 'Accuracy in the alternative uses task' — divergent thinking, scored as total responses and uniquely novel uses. Other primaries are free-association word frequency, EEG alpha power and fMRI inter-subject response reliability.",Recruiting,Primary completion date 2026-12-01; study completion date 2027-01-01. Last update posted 2026-07-23.,NEGATIVE,-1.13,-1.7,-0.57,ledger:Yousefi 2025 Psychopharmacology,"pooled interval [-1.70, -0.57] lies entirely below 0",primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/api/v2/studies/NCT05301608
NCT07079852,ClinicalTrials.gov,glutamatergic,psilocybin,"Psilocybin 15 mg, described on the registration as 'a moderate psychoactive dose', versus an inactive placebo control condition.","Healthy adults aged 21-45 with 3-30 lifetime psychedelic uses. HealthyVolunteers flag = true; condition listed as 'Healthy'. Inclusion requires being psychiatrically healthy as assessed by the SCID-5 and medically healthy by physical exam and ECG, with BMI 19-30. Judgement: clean healthy-adult population.",48 (estimated enrolment),"'Memory accuracy from performance on a recognition memory test' — participants view a series of pictures and are later tested with previously seen pictures (targets) intermixed with new pictures (lures), responding whether each was seen before. This is an objective performance measure and it is a PRIMARY outcome. The second primary is the fMRI neural correlate of the same memory task. Time frame 8 weeks.",Not yet recruiting,Study start 2026-09; primary completion and study completion both 2028-08. Last update posted 2026-06-15.,NEGATIVE,-1.13,-1.7,-0.57,ledger:Yousefi 2025 Psychopharmacology,"pooled interval [-1.70, -0.57] lies entirely below 0",primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/api/v2/studies/NCT07079852
NCT07818564,ClinicalTrials.gov,glutamatergic,psilocybin,"Single dose of psilocybin 25 mg oral capsule (Usona Institute) versus inactive placebo, microcrystalline cellulose 25 mg capsule.","Healthy adult volunteers aged 18 and over. HealthyVolunteers flag = true. The brief summary states the aim is to evaluate psilocybin's effects on cognition in healthy adult volunteers. Exclusions include any current clinically significant psychiatric episode not in full remission, alcohol or substance use disorder in the past year, and regular psychoactive medication within 3 months. Condition field reads only 'Phase I'. Judgement: clean healthy-adult population — I checked the brief summary and full exclusion list specifically because the condition field was uninformative.","24 (estimated enrolment, 'up to 24 participants')","Two objective computer-based behavioural tasks, both PRIMARY: (1) 'Reinforcement Learning and Abstraction Task' — a custom puzzle-based task that the registration states requires working memory and reinforcement learning and includes a measure of state abstraction; (2) 'Belief Updating Task' — a custom task in which participants dynamically adjust predictions each trial, measuring trial-to-trial belief updating. Assessed 1 day before dosing, during dosing, and 1 day after.",Not yet recruiting,Study start 2026-11; primary completion and study completion both 2027-11. Last update posted 2026-09-14.,NEGATIVE,-1.13,-1.7,-0.57,ledger:Yousefi 2025 Psychopharmacology,"pooled interval [-1.70, -0.57] lies entirely below 0",primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/api/v2/studies/NCT07818564
NCT07449351,ClinicalTrials.gov,glutamatergic,psilocybin_lsd_microdosing,"2.0 mg powdered psilocybin derived from Psilocybe cubensis mushrooms, in capsules, three times weekly for four weeks, versus 0 mg matching placebo capsules on the same schedule.","Healthy adults aged 21-40 with no history of psychedelic use. HealthyVolunteers flag = true. Exclusions include current mood, developmental or psychotic disorders per DSM-5, current or past substance use disorder, IQ below 70 on the WASI, and serious medical/neurological illness. Judgement: clean healthy-adult population, and notably psychedelic-naive.",20 (estimated enrolment),"An unusually broad objective battery, all listed as PRIMARY outcomes: NIH Toolbox Cognition Battery (iPad-administered); Complex Working Memory Span (CWMS) task; Switching Stroop Test (response inhibition/interference control); Flanker Inhibitory Control and Attention Test (percent correct); Penn Conditional Exclusion Test (perseverative errors, z-scored); and Face Name Associated Memory Exam. Self-report measures (NEO-FFI, BDI, BAI, Harvard Flourishing, EMA) are also listed as primaries alongside these.",Not yet recruiting,Study start 2026-08-10; primary completion and study completion both 2028-04-01. Last update posted 2026-06-23.,NEGATIVE,-0.34,-0.62,-0.06,ledger:Ozaydin 2026 J Psychopharmacol,"pooled interval [-0.62, -0.06] lies entirely below 0",primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/api/v2/studies/NCT07449351
ISRCTN10543404,ISRCTN,nonus,scopolamine,"Scopolamine (hyoscine hydrobromide) 0.6 mg, single oral dose, versus placebo; double-blind randomised design; outcomes assessed approximately 60 minutes post-administration.","Healthy volunteers aged 18-45 years, BMI 18-35 kg/m2, UK resident, good vision and hearing. Judgement: HEALTHY ADULTS — clean. The registry lists the condition as healthy volunteers and no psychiatric diagnosis is required, although the scientific motivation is antidepressant mechanism.",60 (target enrolment),"""Affective memory performance (capturing accuracy, reaction times, and emotional bias in recall and recognition of affectively valenced words)"" measured with the Emotional Recall (EREC) and Emotional Recognition Memory (EMEM) tasks from the Emotional Testing Battery (ETB).",Active / recruiting; recruitment started 18 November 2025 and ends 06 July 2026. Last updated 12 August 2026.,Overall trial end date 10 November 2027; recruitment end 06 July 2026.,NEGATIVE,-0.86,-1.08,-0.64,ledger:Miravalles 2025 Eur Psychiatry,"pooled interval [-1.08, -0.64] lies entirely below 0",primary,2026-09-20,2baedf8,PENDING,,https://www.isrctn.com/api/query/format/default?q=ISRCTN10543404
CRD420251140305,PROSPERO,nutraceutical,creatine,Creatine supplementation. Registry Intervention[IV] field confirmed to contain 'creatine'. Dose/duration not readable from the fields I could query.,"Healthy adults per the registered title. Judgement: healthy adults, with a caveat - the Population[PA] field is confirmed to contain 'adults' but a field-scoped query for 'healthy' in PA returned no match, so the healthy restriction is evidenced by the title rather than by the population field.",not stated,"Main outcomes[OP] field confirmed to contain 'cognitive'; queries for memory, attention, executive and processing in OP all returned no match, so the registered primary outcome appears to be global cognitive function rather than a named domain or instrument.",Ongoing,No anticipated completion date readable. PROSPERO registration date (RIS DP field) 18/09/2025; review status Ongoing as of this session.,NULL,0.03,-0.14,0.2,ledger:Prokopidis 2023 Nutrition Reviews,"pooled interval [-0.14, 0.20] spans 0",primary,2026-09-20,2baedf8,PENDING,,https://www.crd.york.ac.uk/PROSPERO/view/CRD420251140305
ISRCTN16663180,ISRCTN,nonus,creatine,"Creatine monohydrate (Creapure) or matched placebo as powder in a beverage: loading dose ""20 g/day (4 x 5 g servings) for 7 days, followed by a long-term maintenance dose of 5 g/day"" for 11 weeks, combined with a structured 12-week resistance training programme. A compound-plus-training design.","Career male or female firefighters aged between 18 and 50 years. Judgement: HEALTHY ADULTS — an occupational sample of working firefighters with no disease criterion, not a patient group.",24 actual enrolled against a target of 30 (small and under-enrolled),"CAVEAT — cognition is a SECONDARY outcome here. Named objective measure: ""Psychomotor Vigilance Task Test reaction time (ms)"". The primary outcome is completion time for the Fire Ground Test, a 13-task occupational simulation, which is physical rather than cognitive.","Completed. Recruitment recorded 16 February 2026 to 19 February 2026. No publication details listed; data ""not expected to be made available"".","Overall trial end date 14 May 2026 — already passed, with no results posted.",NULL,0.03,-0.14,0.2,ledger:Prokopidis 2023 Nutrition Reviews,"pooled interval [-0.14, 0.20] spans 0",secondary,2026-09-20,2baedf8,PENDING,,https://www.isrctn.com/api/query/format/default?q=ISRCTN16663180
CRD420250650923,PROSPERO,reviews,dextroamphetamine,"Acute administration of amphetamine at any dosage, versus placebo control condition.","Healthy volunteers — 'Healthy adults (aged 18-65 years)'. Conducted in facilities authorised to run clinical trials in healthy subjects. HEALTHY ADULTS: yes, clean.",not stated (systematic review; no target number of included studies given),Digit Symbol Substitution Test (DSST) — speed and processing accuracy. Secondary: attention and information-processing-speed measures from other tasks.,Ongoing (PROSPERO reviewstatus 'Ongoing'; PublicationStatus 'Registered'; editing status 'Stable'),"Registered 02 May 2025. Stated review start date 15 April 2025, end date 31 December 2025 — end date has PASSED while status remains Ongoing, i.e. completed-but-unpublished. PubMed shows no matching publication.",NULL,0.21,-0.06,0.47,ledger:Roberts 2020 Eur Neuropsychopharmacol,"pooled interval [-0.06, 0.47] spans 0",primary,2026-09-20,2baedf8,PENDING,,https://www.crd.york.ac.uk/PROSPERO/view/CRD420250650923
NCT07666685,ClinicalTrials.gov,nutraceutical,dietary_nitrate,"Daily beetroot extract juice (nitrate-rich) vs nitrate-depleted beetroot juice placebo, each with or without a supervised multicomponent exercise programme (strength, balance, mobility, aerobic); four groups, 12 weeks","Adults aged 75 and over recruited from the Geriatrics Service of Hospital Universitario de Navarra or primary care, ambulating independently, Barthel Index >60. Registry flags healthy volunteers = yes. MIXED - flagging explicitly: only advanced/severe dementia (GDS 6-7) is excluded, so mild cognitive impairment may be present in the sample.",120 (ESTIMATED),"Stroop Test, Symbol Digit Modalities Test (SDMT) and Trail Making Test Part A, at baseline, 6 weeks and 12 weeks (listed among co-primaries alongside blood pressure and physical function)",RECRUITING,Primary completion 2027-10 (estimated); overall completion 2027-11 (estimated); last update posted 2026-06-30,NULL,0.06,-0.06,0.18,ledger:Clifford 2019 Crit Rev Food Sci Nutr,"pooled interval [-0.06, 0.18] spans 0",primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT07666685
NCT07109245,ClinicalTrials.gov,hormonal,insulin_intranasal,"Intranasal insulin, ""160 IU of intransal insulin"" (registry spelling) versus ""1.6 mL of intranasal saline"" on MRI visits, crossed with oral haloperidol titrated up to 2 mg nightly for 7 days versus identical placebo capsules.","HEALTHY ADULTS - clean fit on population. Healthy-volunteers flag true; ages 18-35, both sexes; conditions listed include ""Healthy Controls"". Inclusion requires BMI 18.5-24.9. Exclusions remove any psychiatric illness or substance use history, pre-diabetes/diabetes, HOMA-IR >=2.5, family diabetes history, irregular menstrual cycles and hormonal contraceptives.",35 (ESTIMATED enrolment),"Cognition is secondary and is listed as ""Antipsychotic Related Outcome: Digit Symbol Substitution Test"". Primaries are resting-state functional connectivity between the anterior cingulate and lateral parietal cortex, plus metabolic measures (BMI, waist circumference, glucose, insulin, C-peptide, HbA1c, HOMA-IR). DESIGN CAVEAT THE PROJECT MUST CARRY: intranasal insulin is administered in BOTH arms, so the randomised DSST contrast tests haloperidol versus placebo, not insulin versus saline. This is an insulin-action mechanism study, not an insulin cognitive-enhancement trial.",RECRUITING,Primary completion date 2028-08 (ESTIMATED); study completion date 2028-12 (ESTIMATED); start date 2025-12-11 (ACTUAL); last update posted 2026-04-02. hasResults is false. Long-dated.,NULL,0.02,-0.05,0.09,ledger:Wu 2023 PLoS One,"pooled interval [-0.05, 0.09] spans 0",primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT07109245
CRD420261431354,PROSPERO,hormonal,menopausal_hormone_therapy,"Combined menopausal hormone therapy regimens in which a progestogen is given alongside oestrogen, with the progestogen component separately identifiable. Named classes include micronised progesterone (oral/vaginal), pregnanes (MPA, dydrogesterone, nomegestrol, cyproterone, chlormadinone), norpregnanes (promegestone, trimegestone, nestorone), estranes (norethisterone, NETA, lynestrenol), gonanes (levonorgestrel, desogestrel, gestodene, norgestimate), dienogest and drospirenone. Frequentist network meta-analysis with placebo/no-treatment as reference node; minimum follow-up 12 weeks.","HEALTHY ADULTS - good fit. Peri- and postmenopausal women of any age (natural, surgical or iatrogenic menopause). The review explicitly excludes established dementia or major neurocognitive disorder at baseline, MCI at baseline (sensitivity analysis only), pre-existing neurological conditions (Parkinson's, MS, epilepsy, stroke with cognitive sequelae, TBI), and psychiatric disorders with cognitive impairment as a core feature - so the analysed population is cognitively healthy menopausal women. Subgroups of interest include premature ovarian insufficiency and early menopause.",Not stated - number of included studies and pooled participants is not pre-specified in the registration.,"Main outcome 2 is ""Global cognitive function - Composite or summary score of overall cognitive performance assessed by a validated instrument (e.g., MMSE, MoCA, 3MS, ADAS-Cog)"", pooled as standardised mean difference (main outcome 1 is incident dementia). Additional outcomes name the domains directly: ""verbal and episodic memory, executive function, processing speed and attention, working memory, verbal fluency, visuospatial function"". Certainty rated with GRADE; node-splitting for inconsistency.","Registered; review status recorded as ""The review is currently planned or ongoing."" Only pilot work is marked started - formal searching, screening, extraction, risk-of-bias and synthesis are all unstarted as of the registration.","Registration states ""Review start date: 1 July 2026. Review end date: 22 December 2026."" Date of first submission to PROSPERO 26 June 2026; date of registration 07 July 2026. Not yet published.",NULL,-0.161,-0.666,0.344,ledger:Andy 2024 Front Endocrinol,"pooled interval [-0.67, 0.34] spans 0",primary,2026-09-20,2baedf8,PENDING,,https://www.crd.york.ac.uk/PROSPERO/view/CRD420261431354
